,Input,Output
"
6246,How many people attended the Freddie Mercury Tribute Concert?,"	72,000
"
6247,What is the name of the fitness gyms that Madonna opened?,"	Hard Candy Fitness
"
6248,Who made the call to sell Alaska?,"	Alexander II
"
6249,Who invaded Tibet? ,"	Ögedei Khan
"
6250,The results of which battle allowed the British to blockade French coasts?,"	the Battle of Trafalgar
"
6251,Who would claim Lithuania under their political umbrella?,"	German
"
6252,How many bomber groups were relocated to Germany?,"	18
"
6253,What identity status paradigm emerged due to the work of James Marcia?,"	Neo-Eriksonian
"
6254,In what other types of areas did forest gardening show up?,"	foothills of monsoon regions
"
6255,Who was Michigan's governor in 2013?,"	Rick Snyder
"
6256,When was the last time the climate plan was modified?,"	in 2013
"
6257,"When was Leonardo Bruni's ""History of the Florentine People"" published?","	1442
"
6258,What term did Brian Cowan give Oxford coffeehouses?,"	penny universities
"
6259,Where did armistice negotiations occur?,"	Kaesong
"
6260,"When was Phuture's ""Acid Tracks"" released?","	1987
"
6261,What Roman word was used to refer to the scared precinct?,"	templum
"
6262,Which two artists did Douglass Cooper say were very important to the forming of Cubism?,"	Paul Gauguin and Paul Cézanne
"
6263,In what year was the Trust Territory of the Pacific Islands created?,"	1947
"
6264,Which city is referred to as Australia's cultural capital?,"	Melbourne
"
6265,What is a Schnellweg?,"	expressway
"
6266,What months does the Governor's cup take place?,"	December/January
"
6267,How are judges placed on Sweden's high courts?,"	appointed by the Government
"
6268,What is the name of the movement of rural blacks in the early 20th century called?,"	The Great Migration
"
6269,What is the name of the Austrian comrade Tito met in Moscow in 1936?,"	Lucia Bauer
"
6270,What is crucial for understanding?,"	the immaterial ""active intellect""
"
6271,What term is used to describe an individual in the early Church that introduced discord?,"	divisive person
"
6272,About what did the Council of the Church question Athanasius?,"	misdemeanours and even murder
"
6273,"Where does the annual ""Brotherhood and Unity"" relay race end?","	""House of Flowers""
"
6274,Which type of fat should people attempt to avoid?,"	trans fats
"
6275,At what age did Frédéric move to Paris?,"	21
"
6276,What is the only kind of school operating in Wales?,"	Comprehensive school
"
6277,How many contestants made it to the finals on season 11 of American Idol?,"	25
"
6278,Antidepressants typically affect what chemical of the brain?,"	Serotonin
"
6279,How much did CBC say they would save by ceasing analogue operation?,"	$10 million
"
6280,The War of 1812 consisted of the U.S against whom?,"	United Kingdom
"
6281,Are the cocoa beans grown in Samoa high or low quality?,"	high quality
"
6282,Who ranked New York as the fashion capital of the world?,"	the Global Language Monitor
"
6283,Queen's sound has been described as a mix of Led Zeppelin and what other band?,"	Yes
"
6284,Who painted the pictures that are in the San Francesco chapel?,"	Francisco Goya
"
6285,What is the size of non-repetitive DNA divided by to get the proportion of non-repetitive DNA?,"	genome size
"
6286,What can cause the doubling of chromosome pairs?,"	errors in cytokinesis
"
6287,In what year was Von Neumann's father elevated to nobility?,"	1913
"
6288,What is the chemical in chocolate that is poisonous to dogs?,"	theobromine
"
6289,In what state what near-infrared light emission discovered? ,"	Texas
"
6290,Where is the Bill and Melinda gates foundation based? ,"	The foundation, based in Seattle, Washington
"
6291,Who did the Russians offer to sell Alaska to?,"	the United States
"
6292,What became cheap enough for the middle class to buy?,"	ornamented products
"
6293,How many people go to see the Appalachian Mountains each year?,"	several million
"
6294,When was the library ban reversed?,"	1971
"
6295,When was the Nanjing Massacre Memorial Hall built?,"	1985
"
6296,A blockade of what coastline was ordered by the French government at the start of the war?,"	North German coasts
"
6297,How many times has the University of Arizona men's basketball team won NCAA tournaments?,"	25
"
6298,How were these relationships with the other countries most likely established ?,"	from where they traded, typically in textiles and grain.
"
6299,What is a reason the place was called Calvary?,"	the name was derived from the physical contour
"
6300,What else did Finlay do with his little person?,"	occasionally threw him at his opponent(s
"
6301,What was Whitehead's criticism of the use of inert ideas in education?,"	""education with inert ideas is not only useless: it is, above all things, harmful.""
"
6302,What is 'a demonstration' another term for?,"	exhibition game
"
6303,Vaccinations programs encouraged what ,"	discourage patients from discussing – ailments that the vaccinations cannot prevent"".
"
6304,Who founded a shopping mall reserved for the most elites of society? ,"	Count Essen-Stenbock-Fermor
"
6305,How many doctors visited Chopin?,"	3
"
6306,"In nature, what ""helper"" does the MTB bacterium require to grow?","	a host organism
"
6307,What nightclub in Southampton was nominated for the UK's best small nightclub?,"	Junk
"
6308,Who did Victorias eldest daughter marry?,"	Prince Frederick William of Prussia
"
6309,What kind of building holds incunabula's today?,"	public and institutional libraries
"
6310,How many females had the ability to read in Rajasthan in 1991?,"	20.44%
"
6311,What painter was an early champion of oil as a medium in painting?,"	Jan van Eyck
"
6312,What determines the amount of current in an electrically controlled switch?,"	other circuit elements
"
6313,Why are specific seasons for bow hunting established?,"	limit competition with hunters using more effective weapons
"
6314,Who did John Kerry choose to be by his side as the potential Vice President?,"	John Edwards
"
6315,Who was thought to have founded Cork?,"	Saint Finbarr
"
6316,When did Ferdinand II die?,"	1516
"
6317,Which generation of PowerBooks introduced trackpads?,"	second
"
6318,What year in the 1990s did an unusual blizzard visit Tennessee?,"	1993
"
6319,What was notable about the discovered vitamin A?,"	fat-soluble
"
6320,Who did Chicago engage in a see-saw battle for first place into August 2009?,"	St. Louis
"
6321,What do chickens normally consume when in the natural wild environment?,"	in their natural surroundings search among the leaf litter for seeds, invertebrates, and other small animals.
"
6322,Teams for what sport can be found congregating at pubs?,"	darts
"
6323,Who threw a surprise pickoff attempt to third baseman Ron Santo?,"	Dick Selma
"
6324,What is the Manueline style also known as?,"	Portuguese late Gothic
"
6325,How much sun does Palermo see each year?,"	2,530 hours
"
6326,What philosophical fields did Popper teach at the London School of Economics?,"	logic and scientific method
"
6327,What event prompted the United States to adopt the printed circuit to make proximity fuses?,"	World War II
"
6328,Where is Ridge Bond from?,"	McAlester, Oklahoma
"
6329,What language is the exception?,"	Spanish
"
6330,How is a vacuum created inside of a manual water pump?,"	a mechanism expands a small sealed cavity
"
6331,The common bit rate on the internet is 128 kbit/s using which compression ratio?,"	11:1
"
6332,What type of garment or accessory is traditionally worn at some of the dances held?,"	mask
"
6333,Who did Al-Husayn send to Kufa?,"	Muslim bin Agail
"
6334,What do classical performers often achieve?,"	high reputations for their musicianship
"
6335,In which period did Gellius gain fame?,"	Italian Renaissance
"
6336,Minuscule is a term uses to describe which case of letter?,"	smaller lower
"
6337,How train is able to turn around after each completed journey?,"	reversing loops
"
6338,By what entities was the Portuguese economy bailed out?,"	European Commission, European Central Bank and International Monetary Fund
"
6339,What is the official name of code 127?,"	delete
"
6340,How many ethnicities or federal agencies required to use in data collection?,"	a minimum of two
"
6341,How long are Tucson's city council terms?,"	four-year
"
6342,What political movement was Paul VI criticized for having a relationship with?,"	Communism
"
6343,What does a Kommunalverband besonderer Art require?,"	the issuing of special laws
"
6344,The earliest Mahayana sutra include the very first version of what genre?,"	Prajñāpāramitā
"
6345,The treatment of Pygmies has been compared to the treatment of what?,"	pets
"
6346,How many years was Ye Zhiping involved in the school overhaul?,"	three-year period
"
6347,Where is the Uruguayan Basketball League headquartered?,"	Montevideo
"
6348,How many Local Authorities are there in England?,"	354
"
6349,How old is the Spanish language in the United States?,"	The Spanish language has been present in what is now the United States since the 16th and 17th centuries
"
6350,What was the most common type of match before the fatal four-way? ,"	four-corner match
"
6351,What are the purpose of minority leader writings?,"	write books or articles that highlight minority party goals and achievements
"
6352,What are some of the negative experiences that peer pressure can influence during adolescence?,"	experimentation with drugs, drinking, vandalism, and stealing
"
6353,"How many destroyers were in Kurita's ""Center Force""?","	13
"
6354,Which country besides Brazil does St. Barts import its labor force from?,"	Portugal
"
6355,How much of China's wine did Sichuan produce in 2000?,"	21.9%
"
6356,Who was the leading figure in Sicily during the Hellenistic period?,"	Agathocles of Syracuse
"
6357,What industry depended on the port of Charleston?,"	The slave trade
